Transaction_ID,Date,Branch,Product_Category,Product_Name,Quantity,Unit_Price,Total_Sales,Payment_Method,Customer_Satisfaction
T1000,07/01/2024,Kumasi,Electronics,Smartwatch,7,,,mobile money,4
T1001,28/06/2024,Kumasi,Groceries,Rice,3,173.42,520.26,Cash,6
T1002,04-07-24,Takoradi,Electronics,Charger,7,,,Mobile Money,6
T1003,06-29-24,Cape Coast,Groceries,Rice,2,229.44,458.88,Card,6
T1004,09/03/2024,Cape Coast,Stationery,Notebook,4,192.83,771.32,Mobile Money,4
T1005,01-15-24,Accra Central,Clothing,Jacket,,329.44,,Card,
T1006,02-05-24,Tema,Stationery,Eraser,7,498.68,3490.76,Cash,2
T1007,01-29-24,Kumasi,Clothing,Dress,,266.91,,Mobile Money,1
T1008,30/01/2024,Tema,Groceries,Rice,3,477.14,1431.42,Mobile Money,3
T1009,28/01/2024,Takoradi,Stationery,File,6,271.99,1631.94,Mobile Money,6
T1010,29/01/2024,Takoradi,Home Appliances,Fan,2,408.93,817.86,Mobile Money,3
T1011,05-20-24,Tema,Clothing,Jeans,4,202.5,810.0,Mobile Money,
T1012,04-25-24,Kumasi,Electronics,Smartwatch,10,40.14,401.4,mobile money,2
T1013,03-25-24,Kumasi,Clothing,Jeans,10,125.28,1252.8,Card,4
T1014,06-17-24,Tamale,Electronics,Phone,6,99.15,594.9000000000001,Card,3
T1015,04/03/2024,Accra Central,Stationery,Pen,9,463.55,4171.95,Cash,
T1016,12/04/2024,Kumasi,Clothing,Jacket,8,349.81,2798.48,Mobile Money,
T1017,03-16-24,Accra Central,Stationery,Pen,1,,,cash,2
T1018,18/01/2024,Cape Coast,Clothing,T-shirt,10,299.29,2992.9,mobile money,6
T1019,22/02/2024,Takoradi,Clothing,Jeans,5,464.86,2324.3,cash,2
T1020,24/02/2024,Kumasi,Electronics,Laptop,3,273.89,821.67,Card,1
T1021,05-21-24,Cape Coast,Home Appliances,Iron,2,81.95,163.9,Card,6
T1022,11/06/2024,Tema,Electronics,Phone,5,170.11,850.5500000000001,Mobile Money,3
T1023,21/05/2024,Tema,Electronics,Laptop,6,78.31,469.86,cash,6
T1024,11/01/2024,Kumasi,Electronics,Headphones,7,375.99,2631.9300000000003,Cash,3
T1025,01-07-24,Takoradi,Clothing,Jeans,2,24.17,48.34,Card,
T1026,02-28-24,Cape Coast,Groceries,Oil,5,257.16,1285.8000000000002,Mobile Money,6
T1027,30/01/2024,Takoradi,Groceries,Rice,7,394.28,2759.96,Card,2
T1028,05-27-24,Accra Central,Electronics,Smartwatch,9,470.43,4233.87,Mobile Money,6
T1029,19/06/2024,Tema,Electronics,Headphones,7,350.12,2450.84,Mobile Money,good
T1030,07/04/2024,Kumasi,Groceries,Bread,1,109.04,109.04,Mobile Money,6
T1031,23/04/2024,Tema,Home Appliances,Blender,10,410.12,4101.2,Cash,4
T1032,02-07-24,Kumasi,Stationery,Pen,10,349.7,3497.0,Card,3
T1033,02/01/2024,Accra Central,Home Appliances,Microwave,9,280.92,2528.28,Cash,
T1034,23/05/2024,Tamale,Stationery,Eraser,9,83.78,754.02,Card,4
T1035,11/03/2024,Tema,Home Appliances,Iron,5,171.24,856.2,mobile money,3
T1036,06-26-24,Kumasi,Clothing,Jacket,7,N/A,,Mobile Money,1
T1037,05-27-24,Accra Central,Groceries,Bread,7,368.64,2580.48,Mobile Money,
T1038,04-21-24,Tamale,Clothing,Jeans,3,269.39,808.17,Card,1
T1039,04-19-24,Tamale,Groceries,Bread,8,381.81,3054.48,Card,good
T1040,01-21-24,Cape Coast,Groceries,Sugar,1,475.06,475.06,Cash,3
T1041,01/05/2024,Tema,Clothing,Jacket,3,482.05,1446.15,Mobile Money,3
T1042,28/01/2024,Takoradi,Clothing,Shoes,4,,,Cash,5
T1043,02/06/2024,Tema,Groceries,Milk,6,325.53,1953.1799999999998,Card,2
T1044,02/04/2024,Tamale,Clothing,Jeans,5,460.21,2301.0499999999997,Card,5
T1045,03/03/2024,Accra Central,Clothing,Jeans,10,192.6,1926.0,Cash,6
T1046,02-24-24,Takoradi,Stationery,Marker,9,47.38,426.42,Mobile Money,4
T1047,14/06/2024,Tamale,Electronics,Headphones,4,292.87,1171.48,Card,6
T1048,05-20-24,Cape Coast,Groceries,Oil,4,372.73,1490.92,Mobile Money,4
T1049,11/03/2024,Tema,Electronics,Laptop,6,12.0,72.0,Mobile Money,1
T1050,05-21-24,Kumasi,Clothing,T-shirt,10,241.96,2419.6,Card,1
T1051,05-02-24,Accra Central,Electronics,Smartwatch,1,406.52,406.52,card,4
T1052,16/04/2024,Tema,Stationery,Eraser,8,296.32,2370.56,Card,1
T1053,26/01/2024,Kumasi,Groceries,Rice,3,82.48,247.44,Card,
T1054,02-29-24,Takoradi,Clothing,T-shirt,5,314.4,1572.0,Mobile Money,4
T1055,05-19-24,Kumasi,Home Appliances,Blender,,286.76,,Card,
T1056,06-28-24,Takoradi,Clothing,Shoes,two,303.84,,cash,1
T1057,21/06/2024,Tema,Home Appliances,Kettle,8,94.84,758.72,Mobile Money,
T1058,04-30-24,Takoradi,Electronics,Laptop,8,472.87,3782.96,mobile money,2
T1059,03-23-24,Tamale,Electronics,Smartwatch,1,184.08,184.08,Card,1
T1060,05-20-24,Takoradi,Clothing,T-shirt,10,158.82,1588.1999999999998,Cash,2
T1061,01-30-24,Accra Central,Home Appliances,Kettle,5,140.35,701.75,Card,4
T1062,02-07-24,Tema,Home Appliances,Blender,7,394.92,2764.44,Card,5
T1063,30/05/2024,Cape Coast,Home Appliances,Kettle,6,382.62,2295.7200000000003,Card,6
T1064,06-27-24,Tamale,Clothing,T-shirt,8,406.65,3253.2,Card,3
T1065,01-10-24,Tema,Electronics,Charger,8,207.94,1663.52,Mobile Money,2
T1066,03-08-24,Cape Coast,Electronics,Headphones,9,161.75,1455.75,Mobile Money,
T1067,10/01/2024,Kumasi,Groceries,Sugar,7,381.38,2669.66,Mobile Money,
T1068,17/03/2024,Accra Central,Electronics,Headphones,7,267.93,1875.51,Mobile Money,3
T1069,21/01/2024,Tamale,Home Appliances,Kettle,3,320.76,962.28,Card,1
T1070,29/04/2024,Cape Coast,Electronics,Charger,10,481.2,4812.0,Mobile Money,5
T1071,08/04/2024,Accra Central,Stationery,Marker,5,N/A,,card,1
T1072,07/05/2024,Takoradi,Home Appliances,Fan,4,312.34,1249.36,Mobile Money,3
T1073,09/06/2024,Takoradi,Electronics,Smartwatch,3,,,Card,3
T1074,03/04/2024,Takoradi,Groceries,Bread,5,172.66,863.3,Cash,2
T1075,27/02/2024,Cape Coast,Clothing,Dress,7,N/A,,Card,5
T1076,12/06/2024,Accra Central,Clothing,T-shirt,9,306.99,2762.91,mobile money,
T1077,18/03/2024,Accra Central,Electronics,Headphones,2,444.19,888.38,Card,good
T1078,09/02/2024,Cape Coast,Clothing,Dress,5,N/A,,Card,6
T1079,06-24-24,Cape Coast,Clothing,Jacket,2,412.97,825.94,Cash,1
